time,real,predicted
T10:20:00+10:00,1286.455331,1412.017531
T10:25:00+10:00,1304.899136,1412.017531
T10:30:00+10:00,1332.564842,1412.017531
T10:35:00+10:00,1369.45245,1412.017531
T10:40:00+10:00,1383.285302,1412.017531
T10:45:00+10:00,1406.340058,1412.017531
T10:50:00+10:00,1406.340058,1412.017531
T10:55:00+10:00,1429.394813,1412.017531
T11:00:00+10:00,1438.616715,1412.017531
T11:05:00+10:00,1457.060518,1412.017531
T11:10:00+10:00,1466.282421,1412.017531
T11:15:00+10:00,1466.282421,1412.017531
T11:20:00+10:00,1466.282421,1564.710872
T11:25:00+10:00,1475.504323,1564.710872
T11:30:00+10:00,1498.559078,1564.710872
T11:35:00+10:00,1517.002882,1564.710872
T11:40:00+10:00,1512.391931,1564.710872
T11:45:00+10:00,1530.835734,1564.710872
T11:50:00+10:00,1526.224784,1564.710872
T11:55:00+10:00,1544.668587,1564.710872
T12:00:00+10:00,1530.835734,1564.710872
T12:05:00+10:00,1553.89049,1564.710872
T12:10:00+10:00,1549.279539,1564.710872
T12:15:00+10:00,1544.668587,1564.710872
T12:20:00+10:00,1544.668587,1600
T12:25:00+10:00,1553.89049,1600
T12:30:00+10:00,1553.89049,1600
T12:35:00+10:00,1544.668587,1600
T12:40:00+10:00,1540.057637,1600
T12:45:00+10:00,1544.668587,1600
T12:50:00+10:00,1530.835734,1600
T12:55:00+10:00,1526.224784,1600
T13:00:00+10:00,1517.002882,1600
T13:05:00+10:00,1498.559078,1600
T13:10:00+10:00,1489.337176,1600
T13:15:00+10:00,1475.504323,1600
T13:20:00+10:00,1461.67147,1485.76276
T13:25:00+10:00,1452.449568,1485.76276
T13:30:00+10:00,1429.394813,1485.76276
T13:35:00+10:00,1424.783862,1485.76276
T13:40:00+10:00,1410.951008,1485.76276
T13:45:00+10:00,1387.896254,1485.76276
T13:50:00+10:00,1369.45245,1485.76276
T13:55:00+10:00,1351.008645,1485.76276
T14:00:00+10:00,1327.953891,1485.76276
T14:05:00+10:00,1304.899136,1485.76276
T14:10:00+10:00,1272.622478,1485.76276
T14:15:00+10:00,1249.567723,1485.76276
